SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
21292	21292_HYPOENIG_FW_V_v4_1811346U1	1811346U1	HYPOENIG	FW	V	s4	21270		Ithomiini	Hypomenitis_enigma	Hypomenitis_enigma	Hypomenitis	enigma	panthyale
21292	21292_HYPOENIG_FW_V_v5_1811346U1	1811346U1	HYPOENIG	FW	V	s5	21270		Ithomiini	Hypomenitis_enigma	Hypomenitis_enigma	Hypomenitis	enigma	panthyale
21296	21296_MEGOORES_FW_V_v1_1811346U1	1811346U1	MEGOORES	FW	V	s1	21296		Ithomiini	Megoleria_orestilla	Megoleria_orestilla	Megoleria	orestilla	banjana-m
21296	21296_MEGOORES_FW_V_v2_1811346U1	1811346U1	MEGOORES	FW	V	s2	21296		Ithomiini	Megoleria_orestilla	Megoleria_orestilla	Megoleria	orestilla	banjana-m
21296	21296_MEGOORES_FW_V_v3_1811346U1	1811346U1	MEGOORES	FW	V	s3	21296		Ithomiini	Megoleria_orestilla	Megoleria_orestilla	Megoleria	orestilla	banjana-m
21296	21296_MEGOORES_FW_V_v4_1811346U1	1811346U1	MEGOORES	FW	V	s4	21296		Ithomiini	Megoleria_orestilla	Megoleria_orestilla	Megoleria	orestilla	banjana-m
21296	21296_MEGOORES_FW_V_v5_1811346U1	1811346U1	MEGOORES	FW	V	s5	21296		Ithomiini	Megoleria_orestilla	Megoleria_orestilla	Megoleria	orestilla	banjana-m
21299	21299_NAPELARI_FW_V_v1_1811346U1	1811346U1	NAPELARI	FW	V	s1	21261		Ithomiini	Napeogenes_larilla	Napeogenes_larilla	Napeogenes	larilla	theudelinda
21299	21299_NAPELARI_FW_V_v2_1811346U1	1811346U1	NAPELARI	FW	V	s2	21261		Ithomiini	Napeogenes_larilla	Napeogenes_larilla	Napeogenes	larilla	theudelinda
21299	21299_NAPELARI_FW_V_v3_1811346U1	1811346U1	NAPELARI	FW	V	s3	21261		Ithomiini	Napeogenes_larilla	Napeogenes_larilla	Napeogenes	larilla	theudelinda
21299	21299_NAPELARI_FW_V_v4_1811346U1	1811346U1	NAPELARI	FW	V	s4	21261		Ithomiini	Napeogenes_larilla	Napeogenes_larilla	Napeogenes	larilla	theudelinda
21299	21299_NAPELARI_FW_V_v5_1811346U1	1811346U1	NAPELARI	FW	V	s5	21261		Ithomiini	Napeogenes_larilla	Napeogenes_larilla	Napeogenes	larilla	theudelinda
21309	21309_OLLAOLER_FW_V_v1_1811346U1	1811346U1	OLLAOLER	FW	V	s1	21309		Ithomiini	Oleria_olerioides	Ollantaya_olerioides	Ollantaya	olerioides	banjana-m
21309	21309_OLLAOLER_FW_V_v2_1811346U1	1811346U1	OLLAOLER	FW	V	s2	21309		Ithomiini	Oleria_olerioides	Ollantaya_olerioides	Ollantaya	olerioides	banjana-m
21309	21309_OLLAOLER_FW_V_v3_1811346U1	1811346U1	OLLAOLER	FW	V	s3	21309		Ithomiini	Oleria_olerioides	Ollantaya_olerioides	Ollantaya	olerioides	banjana-m
21309	21309_OLLAOLER_FW_V_v4_1811346U1	1811346U1	OLLAOLER	FW	V	s4	21309		Ithomiini	Oleria_olerioides	Ollantaya_olerioides	Ollantaya	olerioides	banjana-m
21309	21309_OLLAOLER_FW_V_v5_1811346U1	1811346U1	OLLAOLER	FW	V	s5	21309		Ithomiini	Oleria_olerioides	Ollantaya_olerioides	Ollantaya	olerioides	banjana-m
21359	21359_PTERONEI_FW_V_v1_1811346U1	1811346U1	PTERONEI	FW	V	s1	21359		Ithomiini	Pteronymia_oneida_oneida	Pteronymia_oneida_oneida	Pteronymia	oneida	hewitsoni
21359	21359_PTERONEI_FW_V_v2_1811346U1	1811346U1	PTERONEI	FW	V	s2	21359		Ithomiini	Pteronymia_oneida_oneida	Pteronymia_oneida_oneida	Pteronymia	oneida	hewitsoni
21359	21359_PTERONEI_FW_V_v3_1811346U1	1811346U1	PTERONEI	FW	V	s3	21359		Ithomiini	Pteronymia_oneida_oneida	Pteronymia_oneida_oneida	Pteronymia	oneida	hewitsoni
21359	21359_PTERONEI_FW_V_v4_1811346U1	1811346U1	PTERONEI	FW	V	s4	21359		Ithomiini	Pteronymia_oneida_oneida	Pteronymia_oneida_oneida	Pteronymia	oneida	hewitsoni
21359	21359_PTERONEI_FW_V_v5_1811346U1	1811346U1	PTERONEI	FW	V	s5	21359		Ithomiini	Pteronymia_oneida_oneida	Pteronymia_oneida_oneida	Pteronymia	oneida	hewitsoni
21466	21466_ITHOAVEL_FW_V_v1_1811346U1	1811346U1	ITHOAVEL	FW	V	s1	ME10-160		Ithomiini	Ithomia_avella	Ithomia_avella	Ithomia	avella	theudelinda
21466	21466_ITHOAVEL_FW_V_v2_1811346U1	1811346U1	ITHOAVEL	FW	V	s2	ME10-160		Ithomiini	Ithomia_avella	Ithomia_avella	Ithomia	avella	theudelinda
21466	21466_ITHOAVEL_FW_V_v3_1811346U1	1811346U1	ITHOAVEL	FW	V	s3	ME10-160		Ithomiini	Ithomia_avella	Ithomia_avella	Ithomia	avella	theudelinda
21466	21466_ITHOAVEL_FW_V_v4_1811346U1	1811346U1	ITHOAVEL	FW	V	s4	ME10-160		Ithomiini	Ithomia_avella	Ithomia_avella	Ithomia	avella	theudelinda
21466	21466_ITHOAVEL_FW_V_v5_1811346U1	1811346U1	ITHOAVEL	FW	V	s5	ME10-160		Ithomiini	Ithomia_avella	Ithomia_avella	Ithomia	avella	theudelinda
21469	21469_HYPOTHEU_FW_V_v1_1811346U1	1811346U1	HYPOTHEU	FW	V	s1	21642		Ithomiini	Hypomenitis_theudelinda_zalmunna	Hypomenitis_theudelinda_zalmunna	Hypomenitis	theudelinda	theudelinda
21469	21469_HYPOTHEU_FW_V_v2_1811346U1	1811346U1	HYPOTHEU	FW	V	s2	21642		Ithomiini	Hypomenitis_theudelinda_zalmunna	Hypomenitis_theudelinda_zalmunna	Hypomenitis	theudelinda	theudelinda
